"","Station","n","month","day","hour"
"1",31000,7,6,0,0
"2",31001,2,6,0,0
"3",31002,4,6,0,0
"4",31003,1,6,0,0
"5",31004,5,6,0,0
"6",31005,8,6,0,0
"7",31006,13,6,0,0
"8",31007,4,6,0,0
"9",31009,3,6,0,0
"10",31011,4,6,0,0
"11",31013,9,6,0,0
"12",31014,32,6,0,0
"13",31015,22,6,0,0
"14",31016,6,6,0,0
"15",31017,1,6,0,0
"16",31019,4,6,0,0
"17",31020,2,6,0,0
"18",31021,3,6,0,0
"19",31022,3,6,0,0
"20",31023,4,6,0,0
"21",31024,8,6,0,0
"22",31025,6,6,0,0
"23",31026,7,6,0,0
"24",31027,4,6,0,0
"25",31029,5,6,0,0
"26",31030,2,6,0,0
"27",31031,5,6,0,0
"28",31032,5,6,0,0
"29",31033,8,6,0,0
"30",31034,1,6,0,0
"31",31035,4,6,0,0
"32",31036,5,6,0,0
"33",31037,7,6,0,0
"34",31038,1,6,0,0
"35",31039,1,6,0,0
"36",31040,2,6,0,0
"37",31041,24,6,0,0
"38",31042,6,6,0,0
"39",31043,14,6,0,0
"40",31044,9,6,0,0
"41",31045,13,6,0,0
"42",31046,10,6,0,0
"43",31047,16,6,0,0
"44",31048,6,6,0,0
"45",31049,6,6,0,0
"46",31050,4,6,0,0
"47",31051,5,6,0,0
"48",31052,5,6,0,0
"49",31053,1,6,0,0
"50",31054,5,6,0,0
"51",31055,7,6,0,0
"52",31056,3,6,0,0
"53",31057,5,6,0,0
"54",31058,3,6,0,0
"55",31059,9,6,0,0
"56",31060,9,6,0,0
"57",31061,6,6,0,0
"58",31062,10,6,0,0
"59",31063,7,6,0,0
"60",31064,6,6,0,0
"61",31065,7,6,0,0
"62",31066,1,6,0,0
"63",31067,4,6,0,0
"64",31068,14,6,0,0
"65",31069,8,6,0,0
"66",31070,2,6,0,0
"67",31071,21,6,0,0
"68",31073,10,6,0,0
"69",31074,7,6,0,0
"70",31075,5,6,0,0
"71",31076,12,6,0,0
"72",31077,34,6,0,0
"73",31078,5,6,0,0
"74",31079,10,6,0,0
"75",31080,9,6,0,0
"76",31081,3,6,0,0
"77",31082,7,6,0,0
"78",31083,10,6,0,0
"79",31084,9,6,0,0
"80",31085,9,6,0,0
"81",31086,12,6,0,0
"82",31087,17,6,0,0
"83",31088,16,6,0,0
"84",31089,6,6,0,0
"85",31090,7,6,0,0
"86",31091,9,6,0,0
"87",31092,7,6,0,0
"88",31093,1,6,0,0
"89",31094,8,6,0,0
"90",31095,4,6,0,0
"91",31096,9,6,0,0
"92",31097,6,6,0,0
"93",31098,13,6,0,0
"94",31099,8,6,0,0
"95",31100,3,6,0,0
"96",31101,47,6,0,0
"97",31102,18,6,0,0
"98",31103,12,6,0,0
"99",31104,16,6,0,0
"100",31105,8,6,0,0
"101",31106,8,6,0,0
"102",31107,14,6,0,0
"103",31108,40,6,0,0
"104",31109,14,6,0,0
"105",31110,1,6,0,0
"106",31111,10,6,0,0
"107",31112,11,6,0,0
"108",31113,9,6,0,0
"109",31114,14,6,0,0
"110",31115,10,6,0,0
"111",31116,12,6,0,0
"112",31117,4,6,0,0
"113",31118,8,6,0,0
"114",31119,3,6,0,0
"115",31120,20,6,0,0
"116",31121,10,6,0,0
"117",31122,2,6,0,0
"118",31123,2,6,0,0
"119",31124,14,6,0,0
"120",31125,29,6,0,0
"121",31126,18,6,0,0
"122",31127,5,6,0,0
"123",31128,14,6,0,0
"124",31129,15,6,0,0
"125",31200,24,6,0,0
"126",31201,33,6,0,0
"127",31202,13,6,0,0
"128",31203,25,6,0,0
"129",31204,5,6,0,0
"130",31205,2,6,0,0
"131",31207,4,6,0,0
"132",31208,4,6,0,0
"133",31209,22,6,0,0
"134",31211,19,6,0,0
"135",31212,25,6,0,0
"136",31213,12,6,0,0
"137",31214,24,6,0,0
"138",31215,45,6,0,0
"139",31216,1,6,0,0
"140",31217,3,6,0,0
"141",31218,5,6,0,0
"142",31219,12,6,0,0
"143",31220,1,6,0,0
"144",31221,14,6,0,0
"145",31222,1,6,0,0
"146",31223,4,6,0,0
"147",31224,10,6,0,0
"148",31225,6,6,0,0
"149",31226,2,6,0,0
"150",31227,8,6,0,0
"151",31228,21,6,0,0
"152",31229,18,6,0,0
"153",31230,14,6,0,0
"154",31231,19,6,0,0
"155",31232,32,6,0,0
"156",31233,16,6,0,0
"157",31234,14,6,0,0
"158",31235,1,6,0,0
"159",31236,6,6,0,0
"160",31237,3,6,0,0
"161",31238,4,6,0,0
"162",31239,4,6,0,0
"163",31240,6,6,0,0
"164",31241,19,6,0,0
"165",31242,6,6,0,0
"166",31243,7,6,0,0
"167",31244,8,6,0,0
"168",31245,16,6,0,0
"169",31246,17,6,0,0
"170",31247,11,6,0,0
"171",31248,20,6,0,0
"172",31249,6,6,0,0
"173",31250,4,6,0,0
"174",31251,11,6,0,0
"175",31252,5,6,0,0
"176",31253,6,6,0,0
"177",31254,5,6,0,0
"178",31255,10,6,0,0
"179",31256,7,6,0,0
"180",31257,5,6,0,0
"181",31258,7,6,0,0
"182",31259,4,6,0,0
"183",31260,3,6,0,0
"184",31261,1,6,0,0
"185",31262,2,6,0,0
"186",31263,18,6,0,0
"187",31264,12,6,0,0
"188",31265,1,6,0,0
"189",31266,8,6,0,0
"190",31267,7,6,0,0
"191",31268,34,6,0,0
"192",31269,4,6,0,0
"193",31270,19,6,0,0
"194",31271,9,6,0,0
"195",31272,24,6,0,0
"196",31273,8,6,0,0
"197",31274,4,6,0,0
"198",31275,2,6,0,0
"199",31276,3,6,0,0
"200",31277,11,6,0,0
"201",31278,10,6,0,0
"202",31279,3,6,0,0
"203",31280,22,6,0,0
"204",31281,18,6,0,0
"205",31282,27,6,0,0
"206",31283,6,6,0,0
"207",31285,11,6,0,0
"208",31286,15,6,0,0
"209",31287,1,6,0,0
"210",31288,19,6,0,0
"211",31289,9,6,0,0
"212",31290,13,6,0,0
"213",31291,5,6,0,0
"214",31292,4,6,0,0
"215",31293,9,6,0,0
"216",31294,7,6,0,0
"217",31295,25,6,0,0
"218",31296,17,6,0,0
"219",31297,9,6,0,0
"220",31298,4,6,0,0
"221",31299,14,6,0,0
"222",31300,13,6,0,0
"223",31301,4,6,0,0
"224",31302,5,6,0,0
"225",31304,3,6,0,0
"226",31305,5,6,0,0
"227",31306,3,6,0,0
"228",31307,1,6,0,0
"229",31308,5,6,0,0
"230",31309,4,6,0,0
"231",31310,5,6,0,0
"232",31312,12,6,0,0
"233",31313,3,6,0,0
"234",31314,18,6,0,0
"235",31315,3,6,0,0
"236",31316,1,6,0,0
"237",31317,2,6,0,0
"238",31318,3,6,0,0
"239",31319,1,6,0,0
"240",31320,10,6,0,0
"241",31321,12,6,0,0
"242",31322,7,6,0,0
"243",31323,4,6,0,0
"244",31324,6,6,0,0
"245",31400,2,6,0,0
"246",31401,14,6,0,0
"247",31402,3,6,0,0
"248",31403,1,6,0,0
"249",31404,9,6,0,0
"250",31405,6,6,0,0
"251",31406,8,6,0,0
"252",31407,5,6,0,0
"253",31408,1,6,0,0
"254",31411,7,6,0,0
"255",31412,11,6,0,0
"256",31413,11,6,0,0
"257",31414,5,6,0,0
"258",31415,6,6,0,0
"259",31416,5,6,0,0
"260",31417,2,6,0,0
"261",31418,12,6,0,0
"262",31419,8,6,0,0
"263",31500,9,6,0,0
"264",31501,7,6,0,0
"265",31502,2,6,0,0
"266",31503,14,6,0,0
"267",31504,2,6,0,0
"268",31505,14,6,0,0
"269",31506,14,6,0,0
"270",31507,4,6,0,0
"271",31508,9,6,0,0
"272",31509,16,6,0,0
"273",31510,7,6,0,0
"274",31511,8,6,0,0
"275",31512,15,6,0,0
"276",31513,2,6,0,0
"277",31514,10,6,0,0
"278",31515,14,6,0,0
"279",31516,9,6,0,0
"280",31517,9,6,0,0
"281",31518,16,6,0,0
"282",31519,17,6,0,0
"283",31520,18,6,0,0
"284",31521,10,6,0,0
"285",31522,7,6,0,0
"286",31523,6,6,0,0
"287",31524,12,6,0,0
"288",31525,5,6,0,0
"289",31600,19,6,0,0
"290",31601,1,6,0,0
"291",31602,5,6,0,0
"292",31603,31,6,0,0
"293",31604,4,6,0,0
"294",31605,4,6,0,0
"295",31606,16,6,0,0
"296",31607,8,6,0,0
"297",31608,6,6,0,0
"298",31609,18,6,0,0
"299",31610,2,6,0,0
"300",31611,26,6,0,0
"301",31612,8,6,0,0
"302",31613,7,6,0,0
"303",31614,15,6,0,0
"304",31615,38,6,0,0
"305",31616,20,6,0,0
"306",31617,15,6,0,0
"307",31618,11,6,0,0
"308",31619,9,6,0,0
"309",31620,4,6,0,0
"310",31621,3,6,0,0
"311",31622,28,6,0,0
"312",31623,45,6,0,0
"313",31624,20,6,0,0
"314",31625,7,6,0,0
"315",31626,11,6,0,0
"316",31627,37,6,0,0
"317",31628,9,6,0,0
"318",31629,8,6,0,0
"319",31630,9,6,0,0
"320",31631,17,6,0,0
"321",31632,19,6,0,0
"322",31633,5,6,0,0
"323",31634,14,6,0,0
"324",31635,8,6,0,0
"325",31636,7,6,0,0
"326",31637,6,6,0,0
"327",31638,5,6,0,0
"328",31639,23,6,0,0
"329",31640,12,6,0,0
"330",31641,13,6,0,0
"331",31642,9,6,0,0
"332",31643,6,6,0,0
"333",31644,15,6,0,0
"334",31645,25,6,0,0
"335",31646,10,6,0,0
"336",31647,3,6,0,0
"337",31648,15,6,0,0
"338",31649,4,6,0,0
"339",31650,9,6,0,0
"340",31651,8,6,0,0
"341",31652,7,6,0,0
"342",31653,1,6,0,0
"343",31654,9,6,0,0
"344",31655,29,6,0,0
"345",31656,8,6,0,0
"346",31657,12,6,0,0
"347",31658,11,6,0,0
"348",31659,9,6,0,0
"349",31700,2,6,0,0
"350",31701,3,6,0,0
"351",31702,7,6,0,0
"352",31703,1,6,0,0
"353",31704,4,6,0,0
"354",31705,5,6,0,0
"355",31706,3,6,0,0
"356",31707,2,6,0,0
"357",31708,6,6,0,0
"358",31710,12,6,0,0
"359",31711,6,6,0,0
"360",31712,12,6,0,0
"361",31713,9,6,0,0
"362",31714,7,6,0,0
"363",31800,2,6,0,0
"364",31801,9,6,0,0
"365",31802,1,6,0,0
"366",31803,10,6,0,0
"367",31804,11,6,0,0
"368",31805,12,6,0,0
"369",31806,3,6,0,0
"370",31807,4,6,0,0
"371",31811,5,6,0,0
"372",31812,10,6,0,0
"373",31813,5,6,0,0
"374",31814,8,6,0,0
"375",31815,4,6,0,0
"376",31816,7,6,0,0
"377",31817,12,6,0,0
"378",31818,5,6,0,0
"379",31819,3,6,0,0
"380",31820,15,6,0,0
"381",31822,2,6,0,0
"382",31823,1,6,0,0
"383",31900,5,6,0,0
"384",31901,1,6,0,0
"385",31902,9,6,0,0
"386",31903,13,6,0,0
"387",31904,6,6,0,0
"388",31905,7,6,0,0
"389",31906,12,6,0,0
"390",31907,22,6,0,0
"391",31908,4,6,0,0
"392",31909,6,6,0,0
"393",31910,9,6,0,0
"394",31912,4,6,0,0
"395",31913,14,6,0,0
"396",31914,10,6,0,0
"397",31915,4,6,0,0
"398",31916,10,6,0,0
"399",31917,15,6,0,0
"400",31918,16,6,0,0
"401",31919,7,6,0,0
"402",31920,2,6,0,0
"403",31921,10,6,0,0
"404",31923,4,6,0,0
"405",32000,8,6,0,0
"406",32001,4,6,0,0
"407",32002,8,6,0,0
"408",32003,3,6,0,0
"409",32004,8,6,0,0
"410",32005,3,6,0,0
"411",32006,9,6,0,0
"412",32007,2,6,0,0
"413",32008,9,6,0,0
"414",32010,22,6,0,0
"415",32011,20,6,0,0
"416",32012,8,6,0,0
"417",32013,4,6,0,0
"418",32014,11,6,0,0
"419",32015,3,6,0,0
"420",32016,6,6,0,0
"421",32017,7,6,0,0
"422",32018,6,6,0,0
"423",32019,1,6,0,0
"424",32020,1,6,0,0
"425",32021,5,6,0,0
"426",32022,9,6,0,0
"427",32023,7,6,0,0
"428",32024,5,6,0,0
"429",32025,2,6,0,0
"430",32026,4,6,0,0
"431",32027,5,6,0,0
"432",32028,7,6,0,0
"433",32029,8,6,0,0
"434",32030,3,6,0,0
"435",32031,2,6,0,0
"436",32032,11,6,0,0
"437",32033,11,6,0,0
"438",32034,2,6,0,0
"439",32035,7,6,0,0
"440",32036,4,6,0,0
"441",32037,16,6,0,0
"442",32038,5,6,0,0
"443",32040,10,6,0,0
"444",32041,6,6,0,0
"445",32042,2,6,0,0
"446",32043,8,6,0,0
"447",32044,7,6,0,0
"448",32045,4,6,0,0
"449",32046,7,6,0,0
"450",32047,1,6,0,0
"451",32048,11,6,0,0
"452",32049,12,6,0,0
"453",32050,7,6,0,0
"454",32051,3,6,0,0
"455",32052,8,6,0,0
"456",32053,1,6,0,0
"457",32054,5,6,0,0
"458",32055,1,6,0,0
"459",32056,2,6,0,0
"460",32057,6,6,0,0
"461",32058,8,6,0,0
"462",32059,11,6,0,0
"463",32061,8,6,0,0
"464",32062,3,6,0,0
"465",32063,8,6,0,0
"466",32064,1,6,0,0
"467",32065,7,6,0,0
"468",32066,3,6,0,0
"469",32067,9,6,0,0
"470",32068,3,6,0,0
"471",32069,8,6,0,0
"472",32070,1,6,0,0
"473",32071,9,6,0,0
"474",32072,4,6,0,0
"475",32073,2,6,0,0
"476",32074,7,6,0,0
"477",32075,6,6,0,0
"478",32076,13,6,0,0
"479",32077,3,6,0,0
"480",32078,6,6,0,0
"481",32079,17,6,0,0
"482",32080,11,6,0,0
"483",32081,8,6,0,0
"484",32082,11,6,0,0
"485",32083,7,6,0,0
"486",32200,9,6,0,0
"487",32201,3,6,0,0
"488",32203,1,6,0,0
"489",32204,5,6,0,0
"490",32205,1,6,0,0
"491",32206,8,6,0,0
"492",32207,7,6,0,0
"493",32208,8,6,0,0
"494",32209,3,6,0,0
"495",32210,6,6,0,0
"496",32211,5,6,0,0
"497",32212,5,6,0,0
"498",32213,12,6,0,0
"499",32214,1,6,0,0
"500",32215,15,6,0,0
"501",32216,7,6,0,0
"502",32217,1,6,0,0
"503",32218,5,6,0,0
"504",32219,3,6,0,0
"505",32220,12,6,0,0
"506",32221,1,6,0,0
"507",32222,2,6,0,0
"508",32223,9,6,0,0
"509",32224,7,6,0,0
"510",32225,6,6,0,0
"511",32227,6,6,0,0
"512",32228,4,6,0,0
"513",32229,6,6,0,0
"514",32230,3,6,0,0
"515",32231,4,6,0,0
"516",32232,1,6,0,0
"517",32233,8,6,0,0
"518",32234,3,6,0,0
"519",32400,2,6,0,0
"520",32401,13,6,0,0
"521",32402,10,6,0,0
"522",32403,11,6,0,0
"523",32404,9,6,0,0
"524",32405,8,6,0,0
"525",32406,11,6,0,0
"526",32407,3,6,0,0
"527",32408,4,6,0,0
"528",32410,10,6,0,0
"529",32411,2,6,0,0
"530",32412,2,6,0,0
"531",32413,6,6,0,0
"532",32414,7,6,0,0
"533",32415,3,6,0,0
"534",32416,12,6,0,0
"535",32417,2,6,0,0
"536",32600,5,6,0,0
"537",32601,3,6,0,0
"538",32602,7,6,0,0
"539",32603,4,6,0,0
"540",32604,9,6,0,0
"541",32605,8,6,0,0
"542",32606,10,6,0,0
"543",32607,9,6,0,0
"544",32609,7,6,0,0
